,caption,image_id
51643,Bikes and motorcycles lined up beside one another in a building. ,237550
51731,A group of motorcycles parked in a garage. ,237550
51804,Motorcycles line the walls of a clean room,237550
65211,There are over a dozen bikes parked inside the building.,237550
288035,A surfer has wiped out on the wave and fell off his board.,371586
288079,a person riding a surf board on a wave ,371586
288095,A person fall off a surfboard in the ocean waves.,371586
288206,A man falling off of a white surfboard in water.,371586
288293,A man riding a wave on top of a surfboard.,371586
40588,Airport passengers are on board while one is reading a book.,185961
40619,Passengers on a plane read and watch video screens on a flight.,185961
40783,Airplane seats are showing monitors for each person.,185961
40926,A man is sitting on an airplane reading a book.,185961
41048,A man is reading on a loaded airplane,185961
390184,A man is swinging his tennis racquet at a ball,113617
390318, guy jumping up to hit the tennis ball,113617
390454,a man that is on a tennis court with a racket,113617
390468,A tennis player is serving a tennis ball,113617
390509,A man swinging a tennis racquet on top of a court.,113617
161350,Two men with a vintage truck that is broken down.,16486
161459,A truck parked on the side of a road in a field.,16486
161473,An old image of a pickup truck broken down on the side of the road.,16486
161480,Model t ford on side of dirt path with two men outside.,16486
161605,"In an historic photo, a car sits without wheels.",16486
371344,A wooden table topped with lots of camera equipment.,349582
371464,A large amount of cameras on a wooden table.,349582
371490,People standing around a table filled with cameras.,349582
371564,Several different cameras pushed towards the middle of a table,349582
371565,A table filled with several different camera's and people sitting around them.,349582
242079,A skier takes a fall while going down a slope,573568
242167,Someone skiing on the hill of snow at night.,573568
242178,A person on skis crashing down a ski slope.,573568
242314,A person on skis falling down a snowy slope.,573568
242379,Man fallen and sliding down mountain side slope.,573568
165194,Sail boats floating side by side in the ocean.,498792
165228,Sail boats in the ocean and a hill in the background.,498792
165299,Two sailboats on the water on a clear day. ,498792
165316,Boats float in a lake in front of a grassy area.,498792
165446,Large gliding boat floating down the side of the ocean.,498792
273568,Several people standing around and a woman being handed two hot dogs.,342255
273599,A family gathering around a table of food,342255
273626,"A group of people stand outside, exchanging items. ",342255
273671,A group of people are gathered around a table at a picnic.,342255
273696,A group of people standing around buying food.,342255
270819,A man standing on a snow covered slope riding skis.,377119
271728,A skier in the snow in a wooded area.,377119
271825,A man cross country skiing through a forest.,377119
271861,A person wearing skis on a snow covered hill with trees in background.,377119
271970,I man in ski gear and skis standing on the side of a snowy forest.,377119
222117,A woman is playing with the frisbee at the park,281917
222154,Woman catching frisbee on cement walkway near stairs. ,281917
222189,A woman reaching out for an orange frisbee.,281917
222200,A girl attempting to catch a flying frisbee,281917
222229,a woman reaching out so she can grab a frisbee,281917
237721,Two skiers in red and white racing down a snowy mountain.,171479
237727,A couple of people racing down the side of a snow covered slope.,171479
237832,two skiers one wearing orange and the other red,171479
238004,Two skiers are racing up a hill in competition.,171479
238354,Cross-country skiing is one of the most grueling winter sports.,171479
204870,A father and daughter bending over in a  field.,297451
204950,A man and girl are standing on a field holding baseball gloves.,297451
205276,Man and child with baseball gloves on leaning over.,297451
205289,A man and little girl with base ball gloves waiting for a ball.,297451
205364,two people with gloves on their hands leaning.,297451
93588,A girl with a Jonas Brothers Backpack on boarding a school bus.,298692
93638,A young girl wearing a bookbag getting on a yellow school bus. ,298692
93655,A girl with a Jonas Brothers backpack stepping onto a school bus.,298692
93691,The young girl is boarding the bus to school.,298692
93868,a young girl climbing onto a yellow school bus,298692
265479,A large tub of ketchup pouring onto a hog dog in a bun.,159340
265560,a person pouring sauce onto their hot dog ,159340
265666,A large bag of sauce being squeezed onto a grilled hotdog.,159340
265676,A large ketchup dispenser is being used to add ketchup to a hotdog.,159340
265757,A person squirting ketchup on a hot dog.,159340
318123,A girl observing a lady bug cake on a table.,148176
318209,A young girl is holding a lady bug red cake.,148176
318210,A child touching the ear of a ladybug cake.,148176
318260,A kid touching the head of a lady bug. ,148176
318261,A small child is looking at the cake on the table.,148176
192234,a sailboat in a cold winter bay with ice ,87210
192301,A boat sailing on top of a lake beneath snow covered mountains.,87210
192349,A boat at sea with snow covered mountains in the background.,87210
192401,A boat is floating on a lake surrounded by mountains with glaciers. ,87210
192434,a boat sitting in a lake that has ice in it ,87210
338666,A man serving a tennis ball on a tennis court.,25755
338789,A man on a tennis court with a ball and tennis racket.,25755
338811,A person is getting ready to serve a tennis ball.,25755
338928,A young boy tosses a tennis ball into the air in preparations to hit it.,25755
338929,A man with a tennis racket serves the ball at a tennis court,25755
745,A very attractive young woman turning on the water in the shower.,168287
758,A man takes a picture of a woman turning on the shower.,168287
801,A girl testing out the water in a shower with a man taking a pic in the mirror,168287
829,A woman is photographed turning on the shower faucet. ,168287
875,A woman standing in a bathroom by a shower.,168287
62502,A picture on the wall of a baby.,296330
62598,If you look at the glass you can see the television.,296330
62627,A television shows a picture of a baby in a mirror.,296330
62718,A glass partition with a television screen showing a picture of a baby.,296330
62806,A television with a baby's picture sits on a partition in an office building.,296330
201131,A group of men racing horses on top of a beach.,326236
202278,A lot of people that riding some horses.,326236
202424,a group of horse racers running down a beach,326236
202753,an image of a group of horses that are racing on the beach,326236
203242,THERE ARE MANY HORSES THAT IS ON THE BEACH ,326236
407243,a number of people on a table with many glasses,482728
407270,A man pouring wine into a glass at a table with several people sitting at it.,482728
407446,A man that is holding a wine bottle near a table.,482728
407476,A table in a restaurant that has several older people seated and a man is pouring a bottle of wine into a glass.,482728
407478,a man pouring wine into a glass sitting on a table ,482728
384002,A woman looking at a pizza sitting on a table. ,95100
384071,A young woman is leaning over some food.,95100
384090,"A girl with arms crossed leaning on counter over a rectangular pizza, by a wall calendar and containers.",95100
389977,"A woman staring at a pizza, that has a very thick crust.",95100
390062,A woman that is leaning over a pizza.,95100
167218,A photograph of many boats approaching a harbor.,545710
167580,A row of building over looking water filled with boats.,545710
167752,A harbor surrounded by tall buildings and filled with boats.,545710
167802,A group of large buildings overlooking a harbor,545710
168333,A body of water with boats in it near a busy city.,545710
125488,there is a train that can be seen going over the bridge,551189
125526,A train crossing over a body of water during daytime.,551189
125703,The is train cross a bridge over water.,551189
125810,A train traveling over a bridge near a forest.,551189
125900,A train crossing a river in the foothills of mountains.,551189
68200,Two women pose in front of a parked airplane.,251454
68386,Two girls leaning against a small plane on a runway.,251454
68417,Two women standing in front of a small propeller plane.,251454
68574,Two females leaning on an airplane sitting on the tarmac. ,251454
68623,Two women are standing in front of a small plane,251454
202557,A baby standing up and leaning against and reaching into a toy chest.,260977
202876,A small child reaches deep inside a toy chest. ,260977
202886,A small child digging in a brightly colored toy box.,260977
202898,A small dog reaching into a colorful chest.,260977
202948,A small child looking in to a colorful trunk.,260977
167867,A city square crowded with people gathering together,122818
168307,A crowd of people marching down a street with tall buildings.,122818
169542,A group of Middle Eastern people with their arms in the air.,122818
169678,A large group of Middle Eastern protesters gather in a city.,122818
169728,A child dressed in traditional middle eastern garb is lifted above a crowd.,122818
165573,A man pushing a luggage bard through the middle of an airport.,185247
165663,An airport lobby with people carrying luggage and waiting at the counter.,185247
165785,a person wearing a blue button up shirt pushing a cart,185247
165796,a man is pushing a cart in an airport. ,185247
165799, A man walking through the airport pushing a cart.,185247
207817,A woman on a patch of grass about to catch a frisbee.,124703
207823,A beautiful woman catching a frisbee in a field.,124703
207875,A girl playing Frisbee outside on a sunny day. ,124703
208134,A woman reaches into the air to catch a Frisbee.,124703
208164,A woman in the process of catching a frisbee ,124703
390932,a female tennis player in a white dress and fans,405435
390977,A girl at a tennis match serving a tennis ball.,405435
391007,A woman prepares to to hit a tennis ball during a match,405435
391017,A woman serving a ball on top of a tennis court.,405435
391079,A woman standing under a ball holding a tennis racket.,405435
226711,The base ball pitcher is pitching the ball.,450903
226779,Pitcher in position to throw ball during a game.,450903
226786,A baseball pitcher on the mound throwing a ball.,450903
226956,A man pitching a baseball on top of a field.,450903
227000,A pitcher pitching a baseball from the pitchers mound.,450903
388684,A television is on and playing a baseball game.,433045
388857,a television with a baseball game on it ,433045
388900,A TV showing a baseball game with baseball players.,433045
388917,A television shows a baseball game in a dark room.,433045
389003,A tv screen showing a base ball game in progress,433045
270460,A young boy is putting ingredients into a blender.,575652
270549,There is a young child breaking an egg into an electric mixer.,575652
270585,A little boy  making food in a food processor.,575652
270710,A young boy is crack eggs into a mixture.,575652
270739,The young boy is putting eggs in the food processor.,575652
250313,Everything is covered with snow in the area the people are skiing in.,384161
250349,People out skiing next to a tree frozen in snow,384161
250373,Two skiers at the top of a downhill trail at dusk,384161
250724,A couple of people in the snow with skis.,384161
250787,A couple of men riding down a snow covered slope.,384161
324173,A young girl standing by a kitchen stove looking at two freshly made pizzas,537304
324174,The little girl is putting toppings on the pizzas.,537304
324275,A girl who is putting toppings on two pizzas.,537304
324318,A girl putting hot dog weenies on a home made pizza.,537304
324389,A little girl helping to make homemade pizzas in her kitchen.,537304
212622,A horse drawn carriage pulling a black buggy with red wheels.,466557
212630,A large horse carrying a person on a carriage.,466557
212712,I am unable to see an image above.,466557
212728,Horse drawn carriage on cobblestone road in urban area.,466557
212930,A horse drawn carriage is walking down the street,466557
325772,A beautiful woman riding a surfboard in a skimpy outfit.,525684
325800,A oman slides into the water on her surf board,525684
325879,A woman is paddling out in to the ocean.,525684
325927,A young woman paddles out into the ocean on her surfboard.,525684
326004,A person who is laying on their stomach on a surfboard. ,525684
305277,A woman sitting near a chocolate dessert with three lit candles on it.,53351
305344,A woman sitting before a piece of cake with three lit candles.,53351
305401,Woman looking at slice of cake containing three candles.,53351
305404,The woman is going to blow out the candles on the piece of cake. ,53351
305429,a person sitting at a table with a small plate of cake,53351
216995,A man direction horses that are pulling a waggon. ,83464
217306,a buggy with a couple of horse pulling it,83464
217345,large brown horses are pulling a carriage behind them,83464
217401,A man riding in a horse-drawn carriage through a town street.,83464
217423,People are riding in a covered wagon pulled by horses.,83464
218833,A man walking a brown horse wearing a red blanket.,527624
219042,a horse in a blanket being led by a trainer ,527624
219132,Horse wearing red blanket walking on wet track with red coated trainer.,527624
219146,a man walking a horse at the race track,527624
219167,A coated horse being led along a muddy track by its trainer,527624
390193,A man opening the oven in his kitchen.,227978
390350,a man taking some food from the oven,227978
390795,Man standing at opened oven next to the fridge,227978
390884,An older man looks at an opened oven.,227978
390893,A man cleaning the oven in his home kitchen.,227978
128746,A train billowing smoke as it crosses a river by bridge.,463434
128821,A steam locomotive with passenger cars crosses a bridge over a channel,463434
128847,Few boats on the water near a bridge outside.  ,463434
128854,A train driving across a bridge thats over water.,463434
129049,a boat sits docked on some water ,463434
405110,A man pushing a rusted and beat up refrigerator.,330570
405238,A man in a suit pushing a refrigerator up a ramp.,330570
405279,A man moving an old refrigerator from a house,330570
405312,Man pushing a large fridgerator into a house through a dirty ramp.,330570
405334,Man is moving a refrigerator into a house.,330570
273590,"A hot dog with onion, mustard, ketchup and relish. ",478080
273607,A person holding a hot dog wrapped in foil.,478080
273641,A hotdog with relish and condiments surrounded by foil.,478080
273691,A hot dog with mustard ketchup and onions.,478080
273727,"A hand holding a hotdog with ketchup, mustard, and onions wrapped in foil.",478080
326108,A boy blowing out a candle as people look on,133940
326274,A woman with glasses blowing out a candle.,133940
326285,Someone blowing out candles on a cake surrounded by others.,133940
326375,a kid blowing out some candles on a birthday cake ,133940
326415,a small child is blowing out a candle on a cake,133940
267006,A person standing on top of a ski slope in ski equipment.,54001
268895,A woman looks over her shoulder as she pauses while cross-country skiing.,54001
268904,A woman on skis looking back to the person behind her,54001
269373,A person skis through the woods looking back.,54001
269393,A person on a snowy slope wearing skis.,54001
178512,A group of people enthusiastically rowing a makeshift boat.,294034
178564,looks like an episode of survivor on a home made boat,294034
178758,"A photo of people in a large box, paddling.",294034
179058,A group of people are paddling a boxy boat through water,294034
179513,A group of people that are paddling inside of a box.,294034
398816,A woman pouring a glass of wine on a table.,538537
399092,A woman talking and pouring wine at a wine tasting event,538537
399252,Ladies tasting and scoring different wines at a table.,538537
399283,Three women are in a restaurant having wine.,538537
399390,A woman pouring wine into a wine glass at a restaurant with another woman in the foreground. ,538537
78521,A bunch of animals being held during a competition.,560576
78625,Three young people showing shorn sheep at a fair.,560576
78712,A group of kids with shaved sheep at their sides.,560576
78722,Children showing their sheep for a judge at the fair.,560576
78851,Some young people with sheep standing together with spectators.,560576
326367,Woman in tennis whites getting ready to serve on a grass court.,329592
326489,"A tennis player getting ready to serve the ball. 
",329592
326558,a womans tands with a tennis racket in her hand,329592
326793,A tennis player holding a racket and ball in her hands.,329592
326797,A female tennis player is standing on a tennis court.,329592
93235,A shirtless man is reading a paper on a park bench.,326014
93237,"A man sitting on top of a bench, holding a paper.",326014
93295,A man reads a paper while resting on a bench.,326014
93933,"A heavy-set man in shorts is reading a paper beside a bag, sitting on a bench that rests just outside a park-like area.  ",326014
93954,A man wearing no shirt and a pair of shorts sitting on a bench reading a paper,326014
62742,church with pews and an alter of lighted candles,455300
62872,Many candles are lit in front of the pews of the church. ,455300
62905,Large open cathedral with stained-glass windows in it. ,455300
63045,one person inside of a church sitting in a pew,455300
63050,A person sits in a nearly empty church.  ,455300
299731,A young man holding a tennis racquet while wearing  a green bay shirt.,15382
300671,The young tennis player is active during a match.,15382
300876,A man swinging a tennis racquet inside a fence.,15382
300932,A man about to swing a tennis racket,15382
327274,"A man with a tennis racket in his hand, right after swinging.",15382
165198,A crowd of people carrying umbrellas across a rain soaked street.,424439
165323,The people walk down the street as it rains.,424439
165370,Several people crossing a wet street holding umbrellas ,424439
165392,Pedestrians with umbrellas cross a rainy street corner.,424439
165430,People walking across a crosswalk on a rainy day.,424439
71272,A collage of pictures shows how a bench shaped like a butterfly on hands is made.,111067
71280,A lot of pictures of some wooden benches.,111067
71394,A series of photos showing the creation of a hand carved bench from a large wooden tree log.,111067
71490,Images of a bench in different states of construction,111067
71697,A series of pictures shows a bench being carved.,111067
243007,Two people in red snowsuits skiing on a slope.,104953
243120,People skiing down a snowy surface in bright sunlight ,104953
243153,Two people are skiing down a snow covered hill.,104953
243272,A couple of people riding down a snow covered slope.,104953
243330,two snow skiers  coming sown the mountain,104953
404498,A man in a red jacket is crossing the street towards a huge tree. ,305959
404503,The street corner offers a variety of vendors.,305959
404515,A person with a bag crossing a street.,305959
404530,A man walking across a street at a cross walk.,305959
413919,A nice town with a tree in front of the store,305959
309058,Many people are gathered around a cake covered in lit candles.,470004
309124,People gather round the table while kid celebrates his birthday with a cake,470004
309307,A group of people gathered around a wooden table with a cake.,470004
309413,A group of people are standing by some cake.,470004
309518,people enjoying a party with a birthday cake and candles,470004
83536,there are many benches that line this park,289532
83552,Many wooden benches lined up on a street.,289532
83561,A park that contains a row of benches along a walkway.,289532
83662,A row of benches that are near the grass.,289532
83750,A sidewalk in a park lined with empty benches.,289532
381279,A man in a restaurant talking on a cell phone.,486485
381354,A man smiles while talking on a cell phone.,486485
381383,The man is talking on the phone while in the bar.,486485
381389,a man in a bar talking on a cell phone ,486485
381413,A man talking on a cell phone while wearing a hipster hat.,486485
20495,A side view mirror on a car reflecting a white van.,556154
20572,"A view from the side mirror of a car shows bumper to bumper traffic, as far as the eye can see.",556154
20573,A rearview mirror of a vehicle showing the traffic behind it ,556154
20582,a line of cars parked in a very long line,556154
20632,A side mirror view of traffic behind a vehicle.,556154
68951,"A busy city intersection with cars, bicyclists and pedestrians is shown.",42619
68973,"A busy street corner features automobiles, pedestrians, and a person on a bike. ",42619
68988,A taxi cab turning off of a busy street,42619
69108,A police car turning right down a street next to pedestrians.,42619
69113,Street scene showing the back of people crossing at intersection.,42619
177352,A woman with a pen is writing while a man in a tie is watching.,168022
177418,Woman signing a ceremonial book while a man looks on.,168022
177439,There are two people writing in a book,168022
177636,Two young people sitting down while looking at a book.,168022
177752,Two people are sitting at a desk with notebook and pen.,168022
172682,A group of three boats floating along  a river near a shore,380109
173108,Boats float down the river outside the houses of Parliament.,380109
173324,Two white ferries passing each other on a body of water. ,380109
173427,Boats float along a waterway underneath a grey sky. ,380109
173640,Several boats on a wide river with large buildings behind it.,380109
267924,A man bending down to touch the water while water boarding.,79305
267979,a male wakeboarder touches the water as he goes by,79305
268056,"The man is on a wakeboard, and being pulled by a sail.",79305
268101,A man water skiing is leaning over to touch the water.,79305
268330,A man on a water board leaning over while holding a handle.,79305
245679,A fallen skier on a slope being tended to,47867
245716,"One fallen skier, one falling skier, and one skier still standing. ",47867
245767,two skiiers trying to help someone who has fallen in the snow,47867
245849,Three people skiing have kind of ran into each other in the snow.,47867
245929,Someone helping a skier that fell down on the skii slope.,47867
301606,The young tennis player is returning the ball.,142225
301694,A man is holding a tennis racket getting ready to hit a ball. ,142225
301699,A man reaches with a racket to return a tennis ball.,142225
301704,A tennis player reaches for the ball with his racket.,142225
301838,A tennis player strains to return a lob from his opponent,142225
114974,A dog looks at a few ducks in a pond. ,561012
115072,A dog sitting on the end of a boat barking at ducks.,561012
115141,A dog next to the water looking at ducks,561012
115156,A small white dog is looking at ducks on water.,561012
115176,A dog that is looking at ducks in the water.,561012
280394,Snowboarder performing stunt off of roof next to building with brick wall and windows.,340039
280541,A snowboarder is performing a stunt from the very high ledge of a building.,340039
280598,Two boys skating off of the side of a building.,340039
280714,A snowboarder performing a big jump off a rooftop.,340039
294699,A man jumping off of a roof on a snowboard.,340039
73737,A man in grey shirt using device on a fire hydrant.,548726
74167,A man is turning on a fire hydrant.,548726
74407,A man turns on a fire hydrant near a rocky hill.,548726
74605,A person is standing by rocks near a fire hydrant.,548726
74772,A man is using a large wrench to fix a fire hydrant.,548726
179115,A man sitting in an airport with his feet propped up.,493439
179195,A man sleeps with his feet on the luggage bag.,493439
179215,A man on a cell phone resting his legs on his luggage,493439
179403,Man resting after a long day with his feet up on his luggage.,493439
179522,A man sitting with his feet propped up on a suitcase,493439
179464,A wall with street art painted on it that has a person in black holding a red umbrella.,488234
184282,A shadow of a man with a red umbrella painted on a wall.,488234
184311,Graffiti on a French street showing a man holding a red umbrella.,488234
184337,A painting of a man holding a red umbrella over a cat. ,488234
184531,A painting of a black individual with a red umbrella on a concrete wall.,488234
202946,A man leads a horse by the reigns while a woman looks on.,521184
202967,Man and woman in a stable tending to two horse . ,521184
203034,Two people leading a horse out of a sunny stable.,521184
203162,Two people caring for horses near a stable.,521184
203258,A couple of people are standing around with a couple of horses. ,521184
25566,a man on a paddle board is going down the river,316759
25630,"a guy uses a surf board as a boat, using an oar to paddle down the river",316759
25660,A man paddle boarding by a boat dock in a city,316759
25785,The man is surfing on the river by the boats.,316759
25891,A man is paddling a surfboard on the water.,316759
365970,Person taking a slice of pizza out of a pie.,570545
366000,A slice is being lifted from a super cheesy pizza.,570545
366043,A slice of pizza being lifted off a pan with cheese stretching.,570545
366132,someone is serving a piece of  cheese pizza,570545
366173,a close up of a person slice of pizza from a pan,570545
343136,A light blue sky filled with colorful kites.,452938
343151,A beach area with many kites in the sky.,452938
343201,Many different types of kites flying high up in the sky.,452938
343225,a large amount of colorful kites in the air ,452938
343253,A blue sky filled with lots of flying kites.,452938
190527,A person's hand on a suitcase that is open.,235489
190543,Some one opining a suit case with a little kid inside. ,235489
190673,Someone about to shut a suitcase full of clothes. ,235489
190762,Someone is opening this older piece of luggage.,235489
190766,"A suitcase is opening, with a small child inside.",235489
1562,The elephant is preforming for the people near.,252018
1672,Two men and two children watching an elephant.,252018
1686,The four people are looking at the elephant.,252018
1713,Onlookers at a zoo watch an African elephant.,252018
1729,An elephant in an enclosure standing on stairs.,252018
128521,THIS IS A SIDEWALK SHOT OF A PLACE CALLED THE LION,523196
128558,Few street lamps lit next to several tall buildings. ,523196
128707,"a shop, ""the lion"" on an older street. ",523196
128745,A view of a pub sign named The Lion.,523196
128837,a lit street light next to a bar,523196
283725,a person snowboarding by themselves down a hill ,505768
283789,A snowboarder goes down a snowy hill with many tracks in it.,505768
283848,A man riding skis down a snow covered slope.,505768
283885,A man skiing on snow covered ground in the mountains,505768
284002,A person skiing on the snowy slopes alone. ,505768
31269,The woman in the kitchen pours fluid from a blender pitcher. ,447834
31350,A person stands at a counter and pours a smoothie.,447834
31358,Woman pouring liquid into glass in residential kitchen.,447834
31393,A woman is pouring a drink from a pitcher.,447834
31398,a lady that is pouring something in a glass,447834
136471,A car that is on the side of the road.,61409
136607,A food truck in a city street with patrons,61409
136677,White ice cream truck offering sundaes and shakes.,61409
136735,"An ice cream truck selling sundaes, shakes and cones. ",61409
136798,an ice cream truck on a city street next to a building,61409
271327,Kids sit at a blue table that is set for a celebration with a large cake on it.,114630
271385,The children is blowing out the birthday candles on the cake.,114630
271393,A boy blowing out candles on a cake.,114630
271407,A child blows out candles on a birthday cake with the Hulk on it.,114630
271594,A boy blowing out candles on his birthday cake at his birthday party.,114630
148737,A group of cattle and a person in the middle of the street.,230680
148800,I hope no one runs over those cows that are crossing the street.,230680
148920,a group of cows are crossing the street ,230680
148934,Some very cute cows standing in the road.,230680
163664,The cows are crossing the street in the rain.,230680
171535,A tall gray elephant standing on a street next to a fence.,37041
171573,a elephant behind a fence looking at camera,37041
171651,An elephant is standing with its trunk over a fence.,37041
171834,The large elephant is looking over the small fence.,37041
171902,A large elephant has it's trunk hanging over a fence.,37041
187488,A man and woman touching a large elephant ,158020
187560,Two people are touching a large gray elephant.,158020
187603,Two people pet an elephant that has tusks.,158020
187705,Two white people pet a large elephant on the trunk.,158020
187718,There are two people who are touching an elephant.,158020
366508,A man's hand is reaching toward a refrigerator.,205689
366522,A person is pretending to grab a refridgerator so it appears small.,205689
366577,A male hand is reaching toward the refrigerator in the distance.,205689
366584,The perspective of the photo makes it seem as if the refrigerator is being held in a hand.,205689
366587,A person that has their hand by a fridge.,205689
171847,Two men in suits exchanging an item and shaking hands.,432742
172613,two people standing up wearing suits and ties,432742
173084,two gentlemen greeting each other one of them awarding the other,432742
173269,Two men shake hands in front of a podium and a projector screen as people at reception tables look on.,432742
196156,A couple of men shaking hands at a meeting in a conference room.,432742
28604,A baby blue ten speed bicycle leaning against a bench.,483971
28656,A bicycle leaning on a bench behind a woman with a helmet sitting on the bench. ,483971
28713,Bicycle parked on the sidewalk next to a bench.,483971
29011,The bike is sitting on the side of the street.,483971
32365,A bicycle leaning up against a bench in front of a shop.,483971
33542,A large group of motorcycles parked along a street.,38923
33543,The street is lined with all sorts of motorcycles.,38923
33703,Lots of motorcycles parked side by side along a street.,38923
33793,Some people standing in the middle of the street lined with motorcycles.,38923
33820,People standing around many motorcycles in town.  ,38923
100853,Lady leaning against a pole looking at cel phone next to a train.,521797
100906,"A woman leans against a pole, waiting for the bus.",521797
101161,A beautiful young woman leaning up against a light pole.,521797
101176,A woman is waiting next to a bus. ,521797
101230,In a black and white photo a woman stands looking at her cell phone.,521797
22566,A pan sitting on top of a stove top under a wooden spoon.,344582
22896,The woman is stirring whats in the pan with a wooden spoon.,344582
23062,A woman stands at a stove stirring ingredients in a skillet on a back burner.,344582
23250,a lady holding a wooden spoon cooking in a skillet on the stove,344582
23368,A woman stirring the contents of a skillet with a wooden spoon.,344582
386373,A tennis player throws the ball to prepare to hit it.,225372
386394,A man with a tennis racket is serving a tennis ball.,225372
386421,A man prepares to serve the tennis ball while spectators watch.,225372
386671,A man prepares to swing his tennis racket.,225372
386744,A man holding a tennis racquet on a tennis court.,225372
320271,A home made pizza topped with mushroom slices,29114
320307,A pizza with mushrooms served on a plate,29114
320354,Baked pizza on serving platter ready to be sliced.,29114
320415,"A pizza with thick crust, tomato sauce and mushrooms.",29114
320547,This white plate is holding a pizza with mushrooms on it.,29114
70161,An urban street with a bus turning onto it.,405800
70180,a public transit bus on a city street ,405800
70204,A street scene with a mass transit bus turning the corner.,405800
70273,A long yellow and red bus is crossing the street.,405800
70470,A bus is turning down the city street.,405800
290357,Some people dressed and ready to ski on a snowy hillside,515181
290437,very many people with poles and warm clothes skiing,515181
290523,A crowd of people riding skis across a snow covered slope.,515181
290623,A group of people on skis at the top of a snow covered mountain.,515181
290644,a big group of people that are standing in some snow,515181
149537,there is a yellow and blue train pulled in to a station,411824
149741,A train pulling into a station next to a platform.,411824
149805,A close shot of a train traveling down the tracks. ,411824
149955,a yellow and grey train parked next to a platform ,411824
163518,A train engine pulling carts into a station.,411824
79958,I cannot see where the green arrow is pointing.,117071
80005,A green arrow points the way on the busy urban street.,117071
80062,a sidewalk filled with people walking up and down it,117071
80154,Green arrow pointing down sidewalk with pedestrians and signs,117071
80176,Green digital arrow showing the right direction through a crowd of people,117071
35041,Two professional motorcyclists racing on a race track.,136732
35157,Two professional motorcycle drivers racing on a race track ,136732
35226,Two motorcycle racers taking in a sharp turn.,136732
35285,Two racing motorcycle riders leaning hard into a curved track turn.,136732
35331,Two motocross riders take a deep turn limb to pavement.,136732
275251,A man is standing alone while enjoying a day of skiing. ,269422
275350,In the distance on a snow covered hill stands a man with ski poles.,269422
275363,There is a skier There is a skier moving on a snowy slope,269422
275376,A person who is on snow skis traveling over snow.,269422
275524,A man standing on a ski snow covered ski slope. ,269422
350580,A little girl running in the grass with a kite. ,103973
350605,a little girl is running through a field with a kite,103973
350716,A girl runs with her kite behind her,103973
350828,A little girl runs as she tries to fly her kite,103973
350856,The little girl is flying a kite in the grass.,103973
394262,A woman pours a small glass of wine at a tasting.,215081
394298,A woman pouring some wine into a glass.,215081
394346,Lady wearing an apron pouring liquid from a bottle into a glass.,215081
394356,"The lady is pouring a glass of wine in front of the table, where there is a bottle, two goblets and a basket.",215081
394464,A lady pouring some wine in some public place with food.,215081
227314,their is a man holding a freeze in the park,453529
227329,A man catching a frisbe in a parking lot.,453529
227560,a person jumping to catch a frisbee near two cars ,453529
227583,A man holding a white frisbee next to a van.,453529
227737,A person catching a Frisbee in the middle of a parking lot.,453529
286829,a kid is biting in to a doughnut,438268
286872,A boy biting into a chocolate doughnut with sprinkles on it.,438268
286891,A young boy who is eating a chocolate doughnut. ,438268
286902,There is nothing quite as good as a chocolate covered donut with sprinkles.,438268
286970,The young boy is enjoying the chocolate donut.,438268
402086,A very tall clock tower towering over a city at night.,411748
402136,A building with a clock tower is shining with lights.,411748
402225,Tall tower with clock near well lit building at night.,411748
402342,The clock tower is lit up for the night.,411748
402364,lights from a building reflecting on the water with a huge clock tower ,411748
380656,A little girl standing on top of a sidewalk holding a bat.,136970
382336,A girl swings a bat in the street in front of a yard.,136970
382342,A girl swinging a plastic bat on the sidewalk.,136970
382453,A little girl is swinging a bat in front of the grass. ,136970
382548,A young girl on the sidewalk holds a bat.,136970
46941,A hipster sitting on top of a bed with her legs crossed.,518849
47114,Woman with blue streaked hair sitting cross legged on bed.,518849
47144,"A girl with blue/green hair, sitting on a bed",518849
47290,A girl with her legs crossed sitting on the bed.,518849
47436,She may be daydreaming there on the bed.,518849
287158,A person surfing on a wave and falling off.,251511
287242,A surfer is falling off of his surfboard,251511
287309,A man falls while trying to catch a wave surfing,251511
287357,A surfer is doing stunts on the water. ,251511
287493,A man falling off a surfboard while riding a wave in the ocean.,251511
98414,A train is sitting on the tracks with the lights on.,543000
98533,A train is coming down the track approaching a curve.,543000
98579,A train moving along train tracks in an industrial area.,543000
98645,A train is parked on a track in the city. ,543000
130685,A train moves along a curved railroad track.,543000
366606,a person is putting their head inside an oven,264255
366642,A lady posing with her head stuck in a microwave,264255
366647,A woman puts her head in an oven.,264255
366676,A girl sticks her head in a microwave,264255
366808,A girl is sticking her head in the microwave.,264255
86013,A man is painting a fire hydrant red.,448423
86029,A man who is painting a fire hydrant red.,448423
86049,A uniformed man painting a fire hydrant red.,448423
86073,A man painting a fire hydrant red with  a brush. ,448423
86209,A young man painting a fire hydrant red.,448423
82162,a giraffe sticking its neck over the top of a fence ,380500
82171,some people and a giraffe is sticking out its tongue,380500
82208,A giraffe with hits head poked forward and its tongue sticking out. ,380500
82269,A giraffe is leaning over a fence with its tongue out.,380500
82364,a giraffe at a zoo sticking its tongue out ,380500
343514,A man on a field breaking a baseball bat.,310588
343634,The professional player has broken the bat during a swing.,310588
343732,A baseball player breaking a bat with a ball,310588
